               table_name                |          column_name           |        data_type         | is_nullable |                  column_default                   
-----------------------------------------+--------------------------------+--------------------------+-------------+---------------------------------------------------
 bets                                    | id                             | uuid                     | NO          | gen_random_uuid()
 bets                                    | spectator_id                   | uuid                     | NO          | 
 bets                                    | race_id                        | uuid                     | NO          | 
 bets                                    | predicted_horse_id             | uuid                     | NO          | 
 bets                                    | stake_amount                   | integer                  | NO          | 
 bets                                    | odds_market_id                 | uuid                     | YES         | 
 bets                                    | odds_snapshot                  | jsonb                    | NO          | '{}'::jsonb
 bets                                    | potential_payout               | numeric                  | NO          | 
 bets                                    | payout_amount                  | numeric                  | NO          | 0
 bets                                    | status                         | text                     | NO          | 'pending'::text
 bets                                    | settled_result_id              | uuid                     | YES         | 
 bets                                    | settled_by                     | uuid                     | YES         | 
 bets                                    | settled_at                     | timestamp with time zone | YES         | 
 bets                                    | submitted_at                   | timestamp with time zone | NO          | now()
 bets                                    | checked_at                     | timestamp with time zone | YES         | 
 bets                                    | created_at                     | timestamp with time zone | NO          | now()
 bets                                    | updated_at                     | timestamp with time zone | NO          | now()
 bets                                    | deleted_at                     | timestamp with time zone | YES         | 
 deposit_packages                        | id                             | uuid                     | NO          | gen_random_uuid()
 deposit_packages                        | package_id                     | text                     | NO          | 
 deposit_packages                        | label                          | text                     | NO          | 
 deposit_packages                        | vnd_price                      | integer                  | NO          | 
 deposit_packages                        | token_received                 | integer                  | NO          | 
 deposit_packages                        | bonus_token                    | integer                  | NO          | 0
 deposit_packages                        | is_active                      | boolean                  | NO          | true
 deposit_packages                        | created_at                     | timestamp with time zone | NO          | now()
 deposit_packages                        | updated_at                     | timestamp with time zone | NO          | now()
 deposit_packages                        | deleted_at                     | timestamp with time zone | YES         | 
 deposit_requests                        | id                             | uuid                     | NO          | gen_random_uuid()
 deposit_requests                        | order_id                       | text                     | NO          | 
 deposit_requests                        | user_id                        | uuid                     | NO          | 
 deposit_requests                        | package_id                     | text                     | NO          | 
 deposit_requests                        | total_vnd                      | numeric                  | NO          | 
 deposit_requests                        | total_token                    | integer                  | NO          | 
 deposit_requests                        | payment_method                 | text                     | NO          | 
 deposit_requests                        | status                         | text                     | NO          | 'pending'::text
 deposit_requests                        | gateway_reference_id           | text                     | YES         | 
 deposit_requests                        | note                           | text                     | YES         | 
 deposit_requests                        | created_at                     | timestamp with time zone | NO          | now()
 deposit_requests                        | updated_at                     | timestamp with time zone | NO          | now()
 deposit_requests                        | deleted_at                     | timestamp with time zone | YES         | 
 horse_check_issues                      | id                             | uuid                     | NO          | gen_random_uuid()
 horse_check_issues                      | horse_check_id                 | uuid                     | NO          | 
 horse_check_issues                      | code                           | text                     | YES         | 
 horse_check_issues                      | severity                       | text                     | YES         | 
 horse_check_issues                      | note                           | text                     | YES         | 
 horse_check_issues                      | created_at                     | timestamp with time zone | NO          | now()
 horse_checks                            | id                             | uuid                     | NO          | gen_random_uuid()
 horse_checks                            | race_id                        | uuid                     | NO          | 
 horse_checks                            | horse_id                       | uuid                     | NO          | 
 horse_checks                            | jockey_id                      | uuid                     | YES         | 
 horse_checks                            | referee_id                     | uuid                     | NO          | 
 horse_checks                            | phase                          | text                     | NO          | 'pre_race'::text
 horse_checks                            | status                         | text                     | NO          | 'passed'::text
 horse_checks                            | checklist                      | jsonb                    | NO          | '{}'::jsonb
 horse_checks                            | event_type                     | text                     | YES         | 
 horse_checks                            | severity                       | text                     | YES         | 
 horse_checks                            | time_marker                    | text                     | YES         | 
 horse_checks                            | description                    | text                     | YES         | 
 horse_checks                            | evidence_urls                  | ARRAY                    | NO          | ARRAY[]::text[]
 horse_checks                            | requires_violation             | boolean                  | NO          | false
 horse_checks                            | auto_confirm_violation         | boolean                  | NO          | false
 horse_checks                            | linked_violation_id            | uuid                     | YES         | 
 horse_checks                            | health_status                  | text                     | YES         | 
 horse_checks                            | weight                         | integer                  | YES         | 
 horse_checks                            | check_note                     | text                     | YES         | 
 horse_checks                            | is_eligible                    | boolean                  | NO          | true
 horse_checks                            | checked_at                     | timestamp with time zone | NO          | now()
 horse_checks                            | created_at                     | timestamp with time zone | NO          | now()
 horse_checks                            | updated_at                     | timestamp with time zone | NO          | now()
 horse_checks                            | deleted_at                     | timestamp with time zone | YES         | 
 horse_owners                            | id                             | uuid                     | NO          | gen_random_uuid()
 horse_owners                            | user_id                        | uuid                     | NO          | 
 horse_owners                            | stable_name                    | text                     | YES         | 
 horse_owners                            | address                        | text                     | YES         | 
 horse_owners                            | license_number                 | text                     | YES         | 
 horse_owners                            | status                         | text                     | NO          | 'active'::text
 horse_owners                            | created_at                     | timestamp with time zone | NO          | now()
 horse_owners                            | updated_at                     | timestamp with time zone | NO          | now()
 horse_owners                            | deleted_at                     | timestamp with time zone | YES         | 
 horse_rating_history                    | id                             | uuid                     | NO          | gen_random_uuid()
 horse_rating_history                    | horse_id                       | uuid                     | NO          | 
 horse_rating_history                    | race_id                        | uuid                     | YES         | 
